NGP_AECO (Natural Gas),,,,,,EQTY_S&P500 INDX_USD (Stock Index),EQTY_TSE/SP60SPV_NDX_CAD (Stock Index),FX_USD_CAD (Foreign Exchange Rate),IR_CAD_GOVT (Treasury Rate),,,,,,IR_CAD_SWAP (Inter Bank Lending Rate),,,,,,IR_USD_GOVT (Treasury Rate),,,,,,IR_USD_SWAP (Inter Bank Lending Rate),,,,,,NGP_NYMX (Natural Gas),,,,,,OIL_WTI (Oil),,,,,,,,,,
VALUE (30 TERM),VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),VALUE,VALUE,VALUE,VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),VALUE (10950 TERM),VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),VALUE (10950 TERM),VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),VALUE (10950 TERM),VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),VALUE (10950 TERM),VALUE (30 TERM),VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),VALUE (30 TERM),VALUE (90 TERM),VALUE (365 TERM),VALUE (730 TERM),VALUE (1825 TERM),VALUE (3650 TERM),Average VIX,Basis ,IA VOLUME,IA Volume Difference,Indicator 
3.407785714,3.6372,3.922833333,4.426152381,5.078514286,5.078514286,1121.283182,706.4761273,0.967810789,8.58E-03,1.23E-02,0.014076012,2.12E-02,2.99E-02,0.035800282,1.25E-02,1.38E-02,1.56E-02,2.20E-02,3.10E-02,3.65E-02,1.48E-03,2.84E-03,4.79E-03,1.41E-02,2.73E-02,0.042328536,2.89E-03,4.26E-03,6.56E-03,1.62E-02,2.71E-02,3.57E-02,3.886,4.075047619,4.574142857,5.082238095,5.646714286,5.646714286,73.46,76.41238095,82.2552381,84.89761905,84.89761905,84.89761905,23.7835,15.47604545,"$35,249,188","$4,908,404",1
3.148709524,3.50442381,3.63957619,4.254442857,4.968495238,4.968495238,1171.583333,725.4869286,0.982147836,8.79E-03,1.18E-02,1.36E-02,1.94E-02,2.89E-02,3.59E-02,0.012757186,1.34E-02,1.50E-02,2.04E-02,2.99E-02,3.63E-02,1.32E-03,2.40E-03,3.77E-03,1.19E-02,2.63E-02,4.44E-02,2.86E-03,3.80E-03,5.41E-03,1.44E-02,2.67E-02,3.71E-02,3.394904762,3.93452381,4.364809524,4.995619048,5.644285714,5.644285714,73.52,82.47238095,86.20952381,87.94761905,87.94761905,87.94761905,21.23954545,14.4242381,"$40,157,592","$10,193,449",1
3.542490476,3.668842857,3.793542857,4.330338095,5.012857143,5.012857143,1198.864091,736.0227182,0.988090915,9.41E-03,1.26E-02,1.55E-02,2.25E-02,3.15E-02,3.69E-02,1.28E-02,1.44E-02,0.016908699,2.37E-02,3.28E-02,3.76E-02,1.37E-03,2.70E-03,4.57E-03,1.36E-02,2.88E-02,4.83E-02,2.84E-03,4.45E-03,6.45E-03,1.62E-02,0.02990539,4.12E-02,3.786,4.205238095,4.438333333,5.018095238,5.677714286,5.677714286,83.71619048,85.23952381,87.73238095,88.77333333,88.77333333,88.77333333,20.64315789,14.25018182,"$50,351,041","$29,926,289",1
3.713263636,3.688313636,4.050536364,4.428263636,4.978672727,4.978672727,1242.188261,758.8677609,0.992372626,9.79E-03,1.34E-02,1.66E-02,2.47E-02,3.33E-02,3.69E-02,1.29E-02,1.52E-02,1.80E-02,2.61E-02,3.53E-02,0.038922136,1.34E-03,3.25E-03,6.12E-03,1.94E-02,3.40E-02,4.96E-02,3.00E-03,4.88E-03,8.18E-03,2.15E-02,3.51E-02,4.35E-02,4.227290909,4.300909091,4.736909091,5.175954545,5.790727273,5.790727273,88.26045455,90.15409091,91.64772727,90.89363636,90.89363636,90.89363636,22.54,13.61969565,"$80,277,330","-$21,339,219",0
3.75862,3.714425,4.262265,4.5515,5.109765,5.109765,1283.124286,767.4985857,1.005868137,9.58E-03,1.36E-02,1.74E-02,0.025631931,3.38E-02,3.75E-02,1.30E-02,1.53E-02,1.87E-02,2.71E-02,0.036111448,4.07E-02,1.49E-03,3.18E-03,6.12E-03,2.02E-02,3.50E-02,5.09E-02,3.01E-03,4.50E-03,8.19E-03,2.22E-02,3.56E-02,4.48E-02,4.49881,4.49505,5.0967,5.38625,5.99035,5.99035,89.796,91.6195,95.5935,95.2855,95.2855,95.2855,17.7673913,12.65242857,"$58,938,111","$2,284,804",1
3.411221053,3.319473684,3.970068421,4.452710526,5.247815789,5.247815789,1322.2125,799.664355,1.012465915,0.009492046,1.36E-02,1.88E-02,2.75E-02,3.55E-02,0.03862553,1.30E-02,1.55E-02,1.96E-02,2.90E-02,3.77E-02,4.24E-02,1.28E-03,3.59E-03,7.66E-03,2.28E-02,3.70E-02,5.22E-02,3.09E-03,4.59E-03,9.52E-03,0.024909221,3.80E-02,4.65E-02,4.013810526,4.071842105,4.885789474,5.319263158,6.163526316,6.163526316,88.80315789,94.43789474,99.41157895,99.50263158,99.50263158,99.50263158,17.42428571,11.31845,"$61,222,915","$5,002,623",1
3.479504348,3.432495652,4.006113043,4.47326087,5.449195652,5.449195652,1304.486087,801.5582348,1.024203983,9.29E-03,1.32E-02,1.75E-02,2.62E-02,3.39E-02,3.77E-02,0.01291424,1.53E-02,1.91E-02,2.81E-02,3.69E-02,4.24E-02,9.46E-04,3.27E-03,6.95E-03,2.14E-02,3.55E-02,5.10E-02,3.04E-03,4.32E-03,8.70E-03,2.34E-02,3.64E-02,4.51E-02,3.984965217,4.132826087,4.919478261,5.379782609,6.377173913,6.377173913,102.3478261,104.296087,104.9226087,102.0986957,102.0986957,102.0986957,31.9295,10.55686957,"$66,225,538","-$7,462,824",0
3.51991,3.48313,4.01803,4.432755,5.445985,5.445985,1331.784762,798.6959143,1.044273773,9.25E-03,1.40E-02,1.83E-02,2.71E-02,3.45E-02,3.78E-02,1.30E-02,1.60E-02,2.01E-02,2.90E-02,3.78E-02,4.23E-02,5.98E-04,3.13E-03,7.26E-03,2.19E-02,3.58E-02,5.06E-02,2.75E-03,3.96E-03,8.76E-03,2.36E-02,3.63E-02,4.49E-02,4.22603,4.3268,4.9462,5.3961,6.44585,6.44585,108.305,110.892,110.6265,106.761,106.761,106.761,29.91636364,9.892333333,"$58,762,714","-$2,739,377",0
3.667880952,3.644480952,3.958809524,4.256342857,5.197852381,5.197852381,1337.983182,779.6576682,1.03261696,9.24E-03,1.31E-02,1.68E-02,2.48E-02,3.21E-02,0.036120515,1.29E-02,1.50E-02,1.86E-02,2.64E-02,3.53E-02,4.03E-02,3.55E-04,2.32E-03,5.44E-03,1.85E-02,3.29E-02,4.85E-02,2.56E-03,3.56E-03,7.16E-03,2.05E-02,3.35E-02,4.26E-02,4.271238095,4.390142857,4.777,5.115047619,6.076380952,6.076380952,101.1095238,102.1328571,102.652381,100.3285714,100.3285714,100.3285714,25.5652381,10.30909091,"$56,023,337","-$14,425,692",0
3.824377273,3.816654545,3.953922727,4.214309091,5.043868182,5.043868182,1287.288636,752.8001773,1.023254095,8.74E-03,1.19E-02,1.48E-02,2.23E-02,3.05E-02,3.52E-02,1.28E-02,1.41E-02,1.67E-02,2.38E-02,3.35E-02,3.93E-02,3.21E-04,1.97E-03,4.16E-03,1.60E-02,3.13E-02,4.84E-02,2.44E-03,3.87E-03,6.34E-03,1.87E-02,3.22E-02,4.19E-02,4.513554545,4.541818182,4.798954545,5.058590909,5.866272727,5.866272727,96.36681818,97.12818182,99.99454545,100.2272727,100.2272727,100.2272727,24.74590909,9.534090909,"$41,597,645","-$7,848,840",0
3.489005,3.448365,3.71492,4.026565,4.847835,4.847835,1325.874286,758.927419,1.046272521,9.00E-03,1.22E-02,1.48E-02,2.20E-02,3.02E-02,3.47E-02,1.29E-02,1.44E-02,1.66E-02,2.38E-02,3.34E-02,3.88E-02,3.08E-04,1.85E-03,4.08E-03,1.56E-02,3.13E-02,4.91E-02,2.45E-03,4.27E-03,6.47E-03,1.85E-02,0.032197817,4.18E-02,4.4002,4.3374,4.6939,5.01705,5.78045,5.78045,97.196,98.0165,101.552,102.844,102.844,102.844,22.51761905,8.988095238,"$33,748,805","$92,191,691",1
3.437152174,3.400034783,3.651069565,4.072617391,4.841873913,4.841873913,1185.305652,707.0802478,1.018972976,8.23E-03,9.14E-03,1.00E-02,1.60E-02,0.025584331,0.031796922,1.27E-02,1.11E-02,1.12E-02,1.72E-02,2.78E-02,3.42E-02,9.45E-04,1.11E-03,2.32E-03,1.04E-02,2.40E-02,4.26E-02,2.88E-03,0.004438916,4.96E-03,1.31E-02,2.52E-02,3.50E-02,4.022852174,3.985217391,4.473608696,4.907782609,5.640217391,5.640217391,85.72521739,86.91695652,90.46434783,92.45434783,92.45434783,92.45434783,20.37333333,10.47727273,"$125,940,496","-$79,733,387",0
3.472395238,3.517214286,3.708352381,4.166947619,4.889595238,4.889595238,1173.883182,692.8640364,0.99765566,8.10E-03,8.73E-03,9.27E-03,1.46E-02,2.30E-02,2.94E-02,1.28E-02,1.06E-02,1.03E-02,1.56E-02,2.50E-02,2.95E-02,8.53E-04,9.10E-04,2.07E-03,9.00E-03,2.03E-02,3.65E-02,3.41E-03,4.85E-03,5.16E-03,1.19E-02,2.22E-02,3.06E-02,3.872552381,3.927,4.400714286,4.872380952,5.564666667,5.564666667,87.36190476,85.94761905,88.04809524,89.27857143,89.27857143,89.27857143,20.09571429,11.38636364,"$46,207,109","-$6,728,822",0
3.178680952,3.44532381,3.498438095,4.015147619,4.8184,4.8184,1207.21619,681.0174524,0.9807344,7.97E-03,9.12E-03,9.98E-03,1.57E-02,0.023981925,0.029896854,1.28E-02,0.011173135,1.11E-02,0.016666685,2.64E-02,3.14E-02,8.19E-04,1.21E-03,2.79E-03,1.07E-02,2.21E-02,0.034996902,3.92E-03,5.55E-03,6.37E-03,1.39E-02,2.38E-02,3.01E-02,3.550333333,3.855142857,4.118190476,4.63247619,5.408190476,5.408190476,84.26571429,86.65428571,87.30190476,87.7552381,87.7552381,87.7552381,17.56954545,9.3075,"$39,478,287","-$6,752,844",0
3.111790476,3.301304762,3.391890476,3.900271429,4.715985714,4.715985714,1223.476818,684.5337682,0.975780992,8.30E-03,8.75E-03,9.36E-03,1.44E-02,2.22E-02,2.82E-02,1.27E-02,0.010953378,1.08E-02,1.54E-02,2.46E-02,2.92E-02,8.23E-04,1.10E-03,2.50E-03,9.10E-03,0.020654668,3.34E-02,4.52E-03,6.50E-03,7.03E-03,0.012990019,2.23E-02,2.84E-02,3.244533333,3.676190476,3.891904762,4.423666667,5.26147619,5.26147619,96.62714286,97.12571429,95.76761905,92.73571429,92.73571429,92.73571429,17.3155,10.51363636,"$32,725,443","$1,037,991",1
2.824114286,2.943990476,3.290261905,3.834480952,4.606880952,4.606880952,1244.323182,674.1027818,0.977011724,7.95E-03,8.83E-03,9.07E-03,1.33E-02,2.10E-02,2.62E-02,1.28E-02,1.11E-02,1.06E-02,1.45E-02,0.023292991,2.70E-02,8.62E-04,1.09E-03,2.51E-03,9.00E-03,2.04E-02,3.31E-02,5.32E-03,6.57E-03,7.11E-03,1.29E-02,2.18E-02,2.79E-02,3.1402,3.281047619,3.713047619,4.261619048,5.084761905,5.084761905,97.65619048,98.8547619,97.60714286,93.92285714,93.92285714,93.92285714,17.43,9.880952381,"$33,763,434","$9,138,997",1
2.3973,2.42264,3.104165,3.588205,4.488565,4.488565,1298.101818,702.5246545,0.987038781,7.98E-03,9.60E-03,1.00E-02,1.36E-02,2.08E-02,2.63E-02,1.28E-02,1.20E-02,1.17E-02,1.49E-02,2.31E-02,2.67E-02,8.62E-04,1.18E-03,2.38E-03,8.33E-03,2.01E-02,3.35E-02,5.42E-03,0.005409862,5.99E-03,1.16E-02,2.12E-02,2.83E-02,2.67268,2.7456,3.5407,4.0671,4.978,4.978,100.057,100.6985,100.5995,97.245,97.245,97.245,20.72347826,10.86904762,"$42,902,431","$5,286,237",1
2.029255,2.098545,3.107845,3.59204,4.41865,4.41865,1352.90381,713.7413571,1.002869446,9.08E-03,1.01E-02,1.09E-02,1.44E-02,2.13E-02,2.68E-02,1.28E-02,1.25E-02,1.27E-02,1.63E-02,2.40E-02,2.80E-02,8.47E-04,1.71E-03,2.78E-03,8.38E-03,2.03E-02,3.48E-02,4.82E-03,4.73E-03,5.51E-03,0.011039942,2.10E-02,0.029257915,2.49636,2.6699,3.6422,4.1707,4.93695,4.93695,101.754,103.0165,104.2365,99.8965,99.8965,99.8965,16.244,9.642857143,"$48,188,668","$7,427,416",1
1.701740909,1.804168182,2.86185,3.381181818,4.272290909,4.272290909,1389.24,709.5003818,1.006473213,9.06E-03,1.08E-02,1.18E-02,1.57E-02,2.21E-02,2.73E-02,1.27E-02,1.30E-02,1.41E-02,1.86E-02,2.59E-02,2.95E-02,7.76E-04,2.04E-03,3.43E-03,1.02E-02,2.23E-02,3.64E-02,4.49E-03,4.85E-03,5.90E-03,0.012577181,2.29E-02,3.11E-02,2.155290909,2.392272727,3.425818182,3.986818182,4.823636364,4.823636364,106.0604545,106.9995455,107.5177273,102.1868182,102.1868182,102.1868182,16.91142857,12.23068182,"$55,616,084","-$10,213,124",0
1.555435,1.62539,2.6973,3.270125,4.12057,4.12057,1386.98381,691.7801095,1.007328068,9.72E-03,1.15E-02,1.28E-02,1.62E-02,0.021703621,2.68E-02,1.29E-02,0.013790436,1.52E-02,1.94E-02,2.59E-02,0.029520557,8.02E-04,1.86E-03,2.94E-03,9.00E-03,2.11E-02,3.55E-02,4.47E-03,4.96E-03,5.79E-03,0.011767776,2.19E-02,3.02E-02,1.9463,2.1433,3.2385,3.82425,4.601,4.601,103.0045,104.1705,104.903,100.41,100.41,100.41,19.15318182,12.29638095,"$45,402,960","$173,398,394",1
1.965759091,2.046559091,2.924713636,3.330168182,4.041540909,4.041540909,1340.253043,660.8463783,0.989934321,9.83E-03,1.15E-02,1.21E-02,1.47E-02,1.95E-02,0.02517397,1.31E-02,1.35E-02,1.45E-02,1.74E-02,2.32E-02,2.64E-02,8.71E-04,1.86E-03,2.78E-03,7.65E-03,1.85E-02,3.27E-02,4.42E-03,5.34E-03,6.09E-03,1.09E-02,1.97E-02,2.75E-02,2.426190909,2.563863636,3.415090909,3.778636364,4.3555,4.3555,95.185,95.23545455,95.85636364,92.43318182,92.43318182,92.43318182,19.2275,11.89130435,"$218,801,354","-$159,517,477",0
1.868980952,1.993428571,2.879519048,3.313214286,4.092347619,4.092347619,1323.484286,656.3994,0.972924881,8.76E-03,9.69E-03,1.00E-02,1.28E-02,1.84E-02,2.40E-02,1.30E-02,1.20E-02,1.24E-02,1.53E-02,2.19E-02,2.56E-02,8.41E-04,1.91E-03,2.88E-03,7.17E-03,1.66E-02,3.01E-02,4.43E-03,5.13E-03,5.67E-03,9.93E-03,0.018060757,0.025446354,2.464442857,2.538285714,3.348857143,3.699666667,4.257857143,4.257857143,83.36136364,83.00954545,85.40954545,85.07909091,85.07909091,85.07909091,35.02913043,8.702380952,"$59,283,877","-$9,927,773",0
2.2498,2.352747619,3.004461905,3.43577619,4.110742857,4.110742857,1360.423636,664.2718227,0.986402846,8.85E-03,9.66E-03,9.92E-03,1.26E-02,1.78E-02,0.023486022,1.29E-02,1.21E-02,1.24E-02,1.52E-02,2.11E-02,2.54E-02,9.17E-04,1.77E-03,2.49E-03,6.29E-03,1.56E-02,2.90E-02,4.33E-03,4.24E-03,4.79E-03,8.52E-03,1.67E-02,2.47E-02,2.950542857,2.957428571,3.568857143,3.903571429,4.413238095,4.413238095,88.74619048,88.5,90.54428571,88.71095238,88.71095238,88.71095238,36.53,7.411363636,"$49,356,104","$142,773,827",1
